Year,Population,Harvest,MaxTemp,MinTemp,Precipitation,Snow,SnowDepth
2010,726944.0,207313,59.70572500000001,40.95978333333333,0.1036817008333333,0.2616331666666667,3.20365225
2011,705734.0,192331,59.23149166666667,41.0312975,0.0937626999999999,0.1966799166666666,2.3818432166666668
2012,754489.0,186634,63.600675,44.04850833333333,0.0871958333333333,0.1023833333333333,0.3143563333333333
2013,793019.0,172781,56.920975000000006,39.69884750000001,0.1024301666666666,0.2573501833333333,1.8322775
2014,703652.0,139442,53.868575,35.974775,0.1143850583333333,0.2465804999999999,3.394708083333333
2015,770246.0,159343,59.05955833333334,41.15100833333333,0.1123510916666666,0.1043962083333333,0.53079675
2016,911981.0,173213,60.11725833333333,42.68905916666666,0.1223344916666666,0.2015669666666666,1.1072326083333333
2017,725591.0,197768,60.17116666666666,42.24165,0.098996375,0.07734415,0.3297050833333333
2018,793666.0,188706,58.11035833333333,40.57092416666666,0.116523625,0.3180624999999999,1.5104084166666667
2019,815046.0,183637,55.14417500000002,39.546726666666665,0.144918925,0.3901541666666666,2.1834706666666666
2020,909951.0,197315,59.65322500000001,41.4256,0.098104275,0.1958968583333332,1.348312416666667
2021,1037392.0,184698,60.71541666666668,41.94149166666666,0.0825544499999999,0.1603046666666666,1.6640974999999998
2022,1087654.0,190200,61.21102083333333,42.24170333333333,0.078914375,0.21233036666666667,1.6982760833333333
2023,1100000.0,195000,62.53573666666666,43.105729166666664,0.09548247333333333,0.18564073333333332,1.94274525


# https://docs.google.com/spreadsheets/d/1vhPbtmKqaRHKEAuw4RfHTYIrzuOnJAavmAAIPz9g_rA/edit?usp=sharing
# Big thank you to the Minnesota Department of Agriculture for providing nessesary informtion!
